file,prompt
image1.jpg,"oil crayon sketch of art gallery with commemorative display for supernatural awe event glowing visitors .wide shot perspective of someone with white glow sitting at the beach.beautiful gradient explosion of paint sunset vaporwave holosexual grunge effect silver grey visual tint like a movie, yoshitomo nara, watercolor, kazuhiro tsuji, pen and ink detailing."
image2.jpg,Oil painting of french bull dog with beanie. Colourful
image3.jpg,Oil painting of curious french bull dog with beanie. Colourful
image4.jpg,Greek statue wearing futuristic glasses realistic
image5.jpg,Greek statue wearing futuristic glasses realistic simple colour style
image6.jpg,Holographic astronaut helmet
image7.jpg,Holographic astronaut helmet. Dog
image8.jpg,Tired french bulldog wearing beanie and glasses. Oil painting. Vibrant and colourful
image9.jpg,Oil painting of french bulldog with baguette and beret. Colourful
image10.jpg,"A dreamlike landscape filled with floating islands, crystal mountains, and rainbow waterfalls, influenced by the art of Maxfield Parrish and the writing of Jules Verne."
image11.jpg,Anime sketch of dog with sword
image12.jpg,Chill french bulldog wearing beanie. Oil painting. Colourful
image13.jpg,Gradient supernova explosion
image14.jpg,Blurred supernova explosion of colour
image15.jpg,Pixel art of french bull dog with beanie. Colourful
image16.jpg,Pixel art curious french bulldog with beanie on.
image17.jpg,Pixel art french bulldog with beanie on. Colourful background and clear
image18.jpg,Pixel golden retriever with bonnet. Colourful and clear
image19.jpg,Pixel art french bulldog with beanie on. Colourful background. High resolution and clear
image20.jpg,Pixel art french bulldog with an eye patch. Colourful. High quality and high resolution
image21.jpg,Pixel art lilac french bulldog with beanie on. Colourful
image22.jpg,Pixel art lilac toned french bulldog with beanie on. Colourful
image23.jpg,Pixel art lilac toned french bulldog with beanie on. Colourful. Realistic
image24.jpg,Pixel art grey toned french bulldog with colourful beanie on. Colourful. Cartoon
image25.jpg,Pixel art lilac toned french bulldog with colourful beanie on. Colourful. High resolution. Clear
image26.jpg,Pixel art of mixed lilac and grey french bulldog with colourful beanie on. Colourful background. High resolution and clear
image27.jpg,Pixel art lilac toned french bulldog with beanie on. Colourful. High resolution 
image28.jpg,Pixel art lilac toned french bulldog wearing colourful beanie. High resolution. Colourful background 
image29.jpg,habbo style pixel art french bulldog with beanie. Colourful and high resolution 
image30.jpg,habbo style pixel art french bulldog with beanie. Colourful and high resolution 
image31.jpg,habbo style pixel art french bulldog with beanie. Blurred.Colourful and high resolution 
image32.jpg,habbo style pixel art french bulldog with beanie.Colourful and high resolution 
image33.jpg,habbo style pixel art french bulldog with beanie. Blurred eyes.Colourful and high resolution.
image34.jpg,habbo style pixel art french bulldog with colourful beanie.Colourful and high contrast. High resolution
image35.jpg,habbo style pixel art french bulldog with colourful beanie.Colourful and high contrast. High resolution
image36.jpg,habbo style pixel art lilac toned french bulldog with colourful beanie.Colourful and high contrast. High resolution
image37.jpg,habbo style pixel art brown bear with a colourful sombrero on. colourful. high contrast high resolution
image38.jpg,habbo style pixel art lilac toned french bulldog with colourful beanie.Colourful and high contrast. High resolution slightly blurred eyes
image39.jpg,habbo style pixel art lilac toned french bulldog with colourful beanie.Colourful and high contrast. High resolution slightly blurred eyes
image40.jpg,oil painting high resolution sea beside trees yellow moonlight shimmering on water.
image41.jpg,gta 1 style pixel art gangster wearing vest and cap and chain. high resolution and high contrast
image42.jpg,minecraft style pixel art gangster wearing vest and cap and chain. high resolution and high contrast
image43.jpg,pixel art sonic wearing vest and cap and chain. high resolution and high contrast. colourful
image44.jpg,pixel art goku wearing vest and cap and chain. high resolution and high contrast. colourful
image45.jpg,dragonball pixel art goku wearing vest and cap and chain. high resolution and high contrast. colourful
image46.jpg,habbo style pixel art black basketball player with headband wearing vest and cap and chain. high resolution and high contrast. colourful
image47.jpg,gta 1 style pixel art gangster wearing vest and cap and chain. high resolution and high contrast
image48.jpg,explosion of paint oil painting of valley landscape bright and colourful
image49.jpg,explosion of paint oil painting of valley landscape bright and colourful. human angel with white angelic wings floating above water
image50.jpg,explosion of paint oil painting of valley landscape bright and colourful. human angel with white angelic wings floating above water
image51.jpg,"Habbo style pixel art scene depicting a scene from ""The Wolf of Wall Street"". Colourful and high resolution"
image52.jpg,Mona Lisa pose French bulldog with beanie on. Habbo style pixel art colourful
image53.jpg,Habbo style pixel art donkey with red glasses. Colourful and high resolution 
image54.jpg,habbo style pixel art pikachu. colourful
image55.jpg,christmas card style trees
image56.jpg,Offset Lithography style trees in winter wonderland
image57.jpg,Offset Lithography style festive holiday card featuring a snowy scene with Santa and his reindeer
image58.jpg,Habbo style Goku pixel art. Colourful
image59.jpg,Habbo style pixel art donkey with red glasses on. Colourful
image60.jpg,habbo style pixel art black basketball player with headband wearing vest and cap and chain. high resolution and high contrast. colourful
image61.jpg,habbo style pixel art baby face pikachu with capsule corp hat on. 
image62.jpg,Pixar style 3d render of french bulldog with beanie on
image63.jpg,Chinese water colour painting of solar eclipse
image64.jpg,Dog silhouette staring at the sky vaporwave sunset
image65.jpg,Relaxed Dog silhouette staring at the sky vaporwave sunset. Vibrant
image66.jpg,colour vaporwave art of donkey with helmet on silhouette staring at the sunset. 3d rendering
image67.jpg,Smudged watercolour painting of donkey with red glasses writing.
image68.jpg,Chinese authentic watercolour drawing of donkey with red glasses. Detailed
image69.jpg,Hand drawn sketch with dark smudged lines of french bulldog with cigar in mouth. Detailed. High resolution
image70.jpg,Hand drawn sketch with dark smudged lines of menacing cowboy with futuristic glasses and cigar in mouth. Detailed. High resolution with shad...
image71.jpg,Greek statue wearing glasses Pixar style
image72.jpg,Vaporwave art of x-ray with static effect style
image73.jpg,Vaporwave art of x-ray with static noise effect style
image74.jpg,Vaporwave art of x-ray with cigar. Overdrawn static effect
image75.jpg,Vaporwave art of elusive skeleton smoking cigar. Detailed
image76.jpg,"A majestic mountain range at sunset, with warm orange and pink hues painted in a romantic impressionistic style.Ukiyo-e print."
image77.jpg,Vector art cartoon sketch of data server in a messy data warehouse. vibrant and colourful.
image78.jpg,Vaporwave art drawing of isometric bear. Sunset on hill
image79.jpg,Vaporwave isometric art drawing of human like bear enjoying sunset while sitting on a tiny chair
image80.jpg,CGI art robot wearing balaclava soldier pose. Hyperealistic
image81.jpg,Fingerprint design on Balaclava portrait mockup pencil sketch
image82.jpg,Superhero fantasy animated. lost robot wearing balaclava.
image83.jpg,Family guy style Lego man with black helmet on. Standing in the corner of a room. 3d render
image84.jpg,tired eyes barely open face. close up. rick and morty style cartoon
image85.jpg,tired eyes barely open face. close up. rick and morty style cartoon
image86.jpg,detective dog with glasses examining important documents on table. noir style cartoon. grainy black and white old newspaper style
image87.jpg,detective dog with glasses examining important documents on table. family guy style cartoon. grainy vector art. dull colourfulness
image88.jpg," a vivid and detailed habbo style pixel art design. boy in ghost costume walking on tip toes suspiciously, with a bright color palette set in an off-the-wall sci fi universe"
image89.jpg,"a vivid and detailed vector art cartoon design. boy in ghost costume walking on tip toes suspiciously, with a bright color palette set in an off-the-wall sci fi universe"""
image90.jpg,"an animated cartoon featuring two futuristic cyborg dogs, clad in wacky futuristic clothing, exploring an alien world filled with eccentric and fantastic creatures"
image91.jpg,"an animated cartoon featuring dog with glasses having a lucid dream, clad in wacky futuristic clothing, exploring an alien world filled with eccentric and fantastic creatures"
image92.jpg,"an animated cartoon featuring dog with glasses having a lucid dream, clad in wacky futuristic clothing, exploring an alien world filled with eccentric and fantastic creatures. dark and dismal war"
image93.jpg,"an animated cartoon featuring cyborg french bulldog with glasses having a lucid dream, clad in wacky futuristic clothing, exploring an alien world filled with eccentric and fantastic creatures. dark and dismal war"
image94.jpg,"an animated cartoon featuring cyborg french bulldog with glasses having a lucid dream, clad in wacky futuristic clothing, exploring an alien world filled with eccentric and fantastic creatures. dark and dismal war. claude monet"
image95.jpg,"an animated cartoon featuring ancient gods in having a lucid dream in a war room, clad in wacky futuristic clothing, exploring an alien world filled with eccentric and fantastic creatures. dark and dismal war. M.C. Escher"
image96.jpg,"an animated cartoon featuring ancient gods having a lucid dream in a war room, clad in wacky futuristic clothing, exploring an alien world filled with eccentric and fantastic creatures. dark and dismal war. Piero della Francesca"
image97.jpg,"an animated cartoon featuring ancient aliens smoking in a huge art gallery, clad in wacky futuristic clothing, exploring an alien world filled with eccentric and fantastic creatures. dark and dismal war. Piero della Francesca"
image98.jpg,"an animated cartoon featuring ancient aliens smoking in a huge art gallery, clad in wacky futuristic clothing, exploring an alien world filled with eccentric and fantastic creatures. dark and dismal war. Piero della Francesca"
image99.jpg,"an animated cartoon featuring superhero with paperbag mask saving giant baby from puddle, clad in sensible futuristic clothing, exploring an alien world filled with eccentric and fantastic creatures. dark and dismal war. Piero della Francesca"
image100.jpg,"an animated swirl of bright and vibrant colors, manifesting into a dream-like landscape filled with abstract shapes.expanding universe. Piero della Francesca"
image101.jpg,"a cartoon sketch of a block of apartments. Thick and jagged sketch lines, with warm orange and pink hues painted in a romantic impressionistic style.Ukiyo-e print."
image102.jpg,"Visualize a captivating scene that embodies the essence of prompt engineering, where human and AI seamlessly collaborate to unlock new dimensions of creativity. The image should reflect the dynamic interaction between a person and an AI system, symbolizing the transformative power of prompt engineering."
image103.jpg,"Cartoon vector art design of a futuristic computer. On desk in deep isolated space. Charts and analysis on screen. Vaporwave style. Cyberpunk neo-futuristic, pixelated cartoon."
image104.jpg,isometric digital art pattern. Vaporwave
image105.jpg,"Swirling abstract colors in disarray, reminiscent of a Jackson Pollock masterpiece. (Color: Bold and contrasting hues)"
image106.jpg,A celestial scene featuring a radiant golden moon shining brightly against a velvety black sky. The contrasting hues create a captivating and mysterious ambiance
image107.jpg,A dreamy night sky with a full moon shining over a serene landscape. Inspired by the works of Vincent van Gogh. Use cool tones and textured brushstrokes to capture the ethereal atmosphere.
image108.jpg,A mixed media artwork that combines gold leaf accents with vibrant colors to create a whimsical and magical scene
image109.jpg,"Cartoon vector art design of various modern, advanced technological devices on a desk. Vaporwave colouring"
image110.jpg,"Transcendent blend of forms and colors, evoking abstract beauty akin to a Wassily Kandinsky creation. (Color: Soft pastels with pops of vibrant tones)"
image111.jpg,A breathtaking sunrise with golden hues painting the sky
image112.jpg,"A landscape painting showcasing a radiant sunset over rolling hills, with warm tones of orange, yellow, and gold reminiscent of the atmospheric landscapes of J.M.W. Turner."
image113.jpg,"Harmonic arrangement of geometric forms, akin to the precision of a Frank Stella creation. (Color: Bold primary colors with clean lines)"
image114.jpg,"An abstract sculpture crafted from gleaming gold metal features dynamic forms and geometric shapes, adding a modern and minimalist touch to any aesthetic room. Its contemporary style reflects the influence of Constantin Brâncuși's minimalist art"
image115.jpg,Vibrant oil painting capturing a colorful valley landscape. A human-like angel with white wings gracefully hovers above the serene water.
image116.jpg,A captivating oil painting with golden tones portrays a surreal dreamscape where reality and fantasy intertwine. It reflects the influence of Rene Magritte.
image117.jpg,An abstract composition of vibrant shapes and bold colors. Draw inspiration from Wassily Kandinsky's abstract art and experiment with dynamic forms and contrasting tones to evoke a sense of playfulness
image118.jpg,isometric digital art of tetris blocks. Vaporwave.
image119.jpg,"An acrylic masterpiece filled with explosive colors and dynamic brushstrokes, capturing the essence of chaotic harmony. Inspired by the energetic abstract expressionism of Jackson Pollock and the color theory of Mark Rothko."
image120.jpg,A watercolor painting that portrays ethereal ghosts floating in a misty forest. Influenced by the haunting beauty of Edgar Degas' ballet dancers and the mysterious narratives of Remedios Varo.
image121.jpg,Abstract ink splatters and gestural marks create a dreamlike composition that evokes the energy of Jackson Pollock's action painting.
image122.jpg,"Cartoon drawing within abstract but clear oil painting, technologically advanced solar energy station, in between wackily designed new york tower block apartments, fuel hoses tangled and sporadically connected to each flat. Carlos Cruz-Diez , Escher."
image123.jpg,"digital art oil painting of infinitely smooth, vaporwave holographic, curves made of reflective chrome liquid. Abstract lucid dream. High resolution. Wide perspective."
image124.jpg,"Vector art cartoon sketch of lone, quirky 'bankers' lamp with green cotton material light shade and bendy lamp arm on empty desk. Subtle but bright shining light. Rough and exaggerated sketch lines with Crosshatching on the lamp. Butch Hartman style."
image125.jpg,"hiroshi yoshida, gouache painting of migrating birds exuding the randomness of thoughts in art form. Endless entropy. Crayon sketch claude gouache monet. high resolution abstract entropy art. holosexual acid wave effect"
image126.jpg,"grainy marvel comic book style design of toxic jawbreaker sweet oozing wishes of fortune and silly dreams floating among a sea of identical jawbreakers. Cartoon vector art. Thick outlines, hand drawn texture, exaggerated shapes and proportions .Abstract. Grunge nostalgiacore cartoon dark.Antonucci and Mary Blair art style."
image127.jpg,vintage game Saturn in dark galaxy specs of stardust galaxy of jelly beans and other funky candy. oil painting claude monet. pen and ink detailing. high-resolution abstract entropy art. holosexual gradient oil painting portrait. fumes swirling around and fusing to create magic. Carton vector art figure flashing in and out of existence realistic
image128.jpg,vintage game Saturn in dark galaxy specs of stardust galaxy of jelly beans and other funky candy. oil painting claude monet. pen and ink detailing. high-resolution abstract entropy art. holosexual gradient oil painting portrait. fumes swirling around and fusing to create magic. Carton vector art figure flashing in and out of existence realistic
image129.jpg,"oil crayon sketch of art gallery with commemorative display for supernatural awe event glowing visitors .wide shot perspective of someone with white glow sitting at the beach.beautiful gradient explosion of paint sunset vaporwave holosexual grunge effect silver grey visual tint like a movie, yoshitomo nara, watercolor, kazuhiro tsuji, pen and ink detailing."
image130.jpg,duplicated glitch mirrors on vintage grunge england streets confusing bystanders. oil painting claude monet. high resolution abstract entropy art.
image131.jpg,"An energetic and whimsical illustration bursting with vibrant hues, flowing lines, and fantastical characters, reminiscent of the distinctive style of KAWS, merging cartoonish charm with modern art aesthetics."
image132.jpg,"A series of vibrant watercolor paintings featuring abstract shapes and exaggerated forms, evoking the lively and whimsical spirit of Wassily Kandinsky's art."
image133.jpg,"A captivating digital art piece blending vibrant vaporwave hues, reminiscent of Monet's impressionistic style. Symbolizing the messy nature of the mind."
image134.jpg,"A colorful and intricate doodle art composition featuring an array of imaginative characters, patterns, and hidden details, reminiscent of the playful doodles of Sergio Aragonés."
image135.jpg,"An exuberant and kaleidoscopic masterpiece brimming with an explosion of colors, dynamic patterns, and whimsical figures, evoking the lively and playful style of Keith Haring."
image136.jpg,"An exuberant and kaleidoscopic masterpiece brimming with an explosion of colors, dynamic patterns, and whimsical figures, evoking the lively and playful style of Keith Haring."
image137.jpg,"A vibrant and whimsical artwork filled with a myriad of vibrant hues, intricate patterns, and quirky characters, reminiscent of the abstract doodle creations of Joan Miro."
image138.jpg,"A mixed media collage of cartoon-inspired elements, combining pop art aesthetics with a touch of surrealism reminiscent of the playful and abstract compositions of Roy Lichtenstein."
image139.jpg,"A mesmerizing digital artwork that blends intricate patterns and vibrant colors in a beautiful but confusing tapestry. Reminiscent of the abstract compositions of Wassily Kandinsky, this piece invites viewers to decipher the enigmatic patterns and immerse themselves in the depths of its visual complexity."
image140.jpg,"Drawing inspiration from the vibrant pop art of Andy Warhol, this digital composition celebrates the beauty and power of color. Bold, saturated hues come together in a symphony of visual energy, creating an awe-inspiring experience that stimulates the senses and ignites the imagination."
image141.jpg,A digital art piece that combines vibrant neon colors and geometric shapes reminiscent of Piet Mondrian's abstract compositions.
image142.jpg,"Soft pastel strokes create a dreamy landscape of rolling hills and cotton candy skies. This pastel painting evokes the tranquility of J.M.W. Turner's landscapes, while the whimsical elements nod to the fantastical worlds of Hayao Miyazaki."
